"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"236","107","KEGG Pathways","","Parkinson disease","2.23E-27","PSMA4|PSMC4|NDUFB4|UQCRC1|PSMD8|NDUFB7|XBP1|TXN2|PSMA3|TUBB1|PSMD7|PSMA2|COX6A1|NDUFS7|NDUFA2|NDUFA10|EIF2S1|COX5B|NDUFB5|PSMB7|TUBB2B|PSMC1|PSMA6|PSMD11|PSMB1|NDUFS3|PSMD3|SDHA|DAXX|NDUFA9|UQCRC2|NDUFB10|PSMB6|PSMA5|NDUFS6|NDUFC2|SLC25A4|UCHL1|PSMB4|NDUFS4|NDUFB8|NDUFA7|ITPR1|UQCRFS1|PSMD1|UQCRH|PSMD2|PSMC5|CASP3|GNAI2|NDUFS8|CYC1|COX5A|TUBB6|COX8A|HSPA5|NDUFV2|NDUFA12|UQCR10|ATF4|UBA1|NDUFA4|PARK7|PSMB5|SDHC|NDUFS2|PSMD4|COX7A2|PSMA7|NDUFA1|NDUFS5|PSMB2|NDUFA8|TXN|SDHB|SDHD|COX7A2L|UQCRQ|NDUFB6|VDAC1|UBE2G1|PSMD14|NDUFA11|PSMC2|NDUFS1|ERN1|NDUFB3|NDUFA3|CALML4|NDUFB2|NDUFA13|VDAC3|COX6C|PSMD9|UBE2J1|NDUFAB1|COX6B1|UQCR11|UBB|ADRM1|PSMC3|NDUFA6|PSMB3|NDUFB1|UQCRHL|COX7B|NDUFV1","532345","533178|533769|536535|535785|533625|535827|533790|538038|533637|544548|533691|533739|536685|535740|536931|536004|533484|536760|536799|533733|544650|533643|533703|533781|533697|536868|533619|535659|546303|535671|536724|532881|533709|533679|536850|536808|538131|550638|533715|536898|536835|536904|540795|536754|533667|535746|533685|533775|539415|547908|536112|535626|536772|544575|536562|533967|535803|536862|536784|541065|534195|536778|537849|533721|536043|536940|533745|536664|533757|536883|533241|533673|535698|533277|536670|536697|536544|533217|535728|536550|541836|533655|536889|533751|536823|534531|533313|536877|539484|536856|536076|538053|536766|533493|534708|536817|536733|536742|533562|533571|533763|536844|533631|536910|536622|536715|535848","6.62E-30","","hsa05012","2.665169513695184","0"
"263","108","KEGG Pathways","","Prion disease","4.12E-25","PSMA4|PSMC4|NDUFB4|UQCRC1|PSMD8|NDUFB7|PSMA3|TUBB1|PSMD7|PIK3R2|PSMA2|COX6A1|NDUFS7|EGR1|RAC2|NDUFA2|NDUFA10|EIF2S1|COX5B|NDUFB5|PSMB7|TUBB2B|PSMC1|PSMA6|PSMD11|PSMB1|GRIN2D|NDUFS3|PSMD3|SDHA|NDUFA9|UQCRC2|NDUFB10|PSMB6|PSMA5|NDUFS6|NDUFC2|SLC25A4|PSMB4|NDUFS4|NDUFB8|NDUFA7|ITPR1|UQCRFS1|PSMD1|UQCRH|PSMD2|PSMC5|CASP3|NDUFS8|CYC1|COX5A|TUBB6|COX8A|HSPA5|NDUFV2|CREB3L2|NDUFA12|PRKCD|UQCR10|ATF4|CAV1|NDUFA4|CREB3|PSMB5|SDHC|NDUFS2|PSMD4|COX7A2|PSMA7|NDUFA1|NDUFS5|PSMB2|NDUFA8|SDHB|SDHD|CSNK2B|COX7A2L|UQCRQ|NDUFB6|BAD|PPP3CB|VDAC1|NCF4|PPP3CC|PSMD14|NDUFA11|PSMC2|NDUFS1|NDUFB3|NDUFA3|NDUFB2|NDUFA13|VDAC3|COX6C|HSPA8|PSMD9|NDUFAB1|COX6B1|UQCR11|ADRM1|PSMC3|NDUFA6|PSMB3|NDUFB1|UQCRHL|COX7B|NDUFV1","532345","533178|533769|536535|535785|533625|535827|533637|544548|533691|539421|533739|536685|535740|542886|547935|536931|536004|533484|536760|536799|533733|544650|533643|533703|533781|533697|574026|536868|533619|535659|535671|536724|532881|533709|533679|536850|536808|538131|533715|536898|536835|536904|540795|536754|533667|535746|533685|533775|539415|536112|535626|536772|544575|536562|533967|535803|540771|536862|547929|536784|541065|542514|536778|540777|533721|536043|536940|533745|536664|533757|536883|533241|533673|535698|536670|536697|555708|536544|533217|535728|541110|542547|536550|541341|542541|533655|536889|533751|536823|533313|536877|536856|536076|538053|536766|532641|533493|536817|536733|536742|533571|533763|536844|533631|536910|536622|536715|535848","2.45E-27","","hsa05020","2.4385102783966865","0"
"295","110","KEGG Pathways","","Huntington disease","5.28E-23","PSMA4|PSMC4|NDUFB4|UQCRC1|PSMD8|NDUFB7|PSMA3|TUBB1|PSMD7|POLR2I|PSMA2|COX6A1|NDUFS7|CLTA|NDUFA2|NDUFA10|COX5B|NDUFB5|PSMB7|DCTN3|TUBB2B|PSMC1|PSMA6|PSMD11|WIPI1|PSMB1|NDUFS3|PSMD3|SDHA|NDUFA9|UQCRC2|NDUFB10|PSMB6|PSMA5|NDUFS6|NDUFC2|SLC25A4|PSMB4|POLR2J|NDUFS4|NDUFB8|NDUFA7|ITPR1|UQCRFS1|CLTB|PSMD1|UQCRH|PSMD2|PSMC5|CASP3|NDUFS8|CYC1|COX5A|TUBB6|COX8A|POLR2L|NDUFV2|CREB3L2|NDUFA12|UQCR10|DNAH8|NDUFA4|CREB3|GPX7|PSMB5|TGM2|SDHC|NDUFS2|PSMD4|COX7A2|PSMA7|NDUFA1|NDUFS5|PSMB2|NDUFA8|SDHB|SDHD|COX7A2L|UQCRQ|NDUFB6|VDAC1|POLR2F|PSMD14|NDUFA11|PSMC2|NDUFS1|ERN1|BBC3|NDUFB3|DCTN2|POLR2H|NDUFA3|NDUFB2|NDUFA13|VDAC3|COX6C|PSMD9|NDUFAB1|COX6B1|UQCR11|AP2S1|POLR2E|ADRM1|PSMC3|NDUFA6|PSMB3|NDUFB1|UQCRHL|COX7B|NDUFV1","532345","533178|533769|536535|535785|533625|535827|533637|544548|533691|536025|533739|536685|535740|544503|536931|536004|536760|536799|533733|534921|544650|533643|533703|533781|540990|533697|536868|533619|535659|535671|536724|532881|533709|533679|536850|536808|538131|533715|532671|536898|536835|536904|540795|536754|556290|533667|535746|533685|533775|539415|536112|535626|536772|544575|536562|532635|535803|540771|536862|536784|580017|536778|540777|541392|533721|585306|536043|536940|533745|536664|533757|536883|533241|533673|535698|536670|536697|536544|533217|535728|536550|532629|533655|536889|533751|536823|534531|541140|533313|535005|532623|536877|536856|536076|538053|536766|533493|536817|536733|536742|539706|532683|533571|533763|536844|533631|536910|536622|536715|535848","4.72E-25","","hsa05016","2.2277366077466185","0"
"354","121","KEGG Pathways","","Alzheimer disease","7.82E-23","PSMA4|PSMC4|HSD17B10|NDUFB4|UQCRC1|PSMD8|NDUFB7|XBP1|PSMA3|TUBB1|PSMD7|PIK3R2|WNT16|PSMA2|COX6A1|NDUFS7|NDUFA2|NDUFA10|EIF2S1|COX5B|NDUFB5|PSMB7|TUBB2B|PSMC1|PSMA6|PSMD11|WIPI1|PSMB1|MAP2K2|GRIN2D|NDUFS3|PSMD3|SDHA|IDE|NDUFA9|UQCRC2|NDUFB10|PSMB6|PSMA5|NDUFS6|NDUFC2|SLC25A4|FZD7|WNT4|PSMB4|CAPN2|NDUFS4|NDUFB8|NDUFA7|FADD|ITPR1|UQCRFS1|PSMD1|UQCRH|PSMD2|PSMC5|CASP3|NDUFS8|CYC1|COX5A|TUBB6|BID|COX8A|NDUFV2|NDUFA12|UQCR10|ATF4|NDUFA4|FZD6|PSMB5|SDHC|NDUFS2|PSMD4|CASP7|COX7A2|PSMA7|NDUFA1|NDUFS5|PSMB2|NDUFA8|SDHB|SDHD|CSNK2B|RTN3|COX7A2L|UQCRQ|NDUFB6|BAD|PPP3CB|VDAC1|GAPDH|WNT5B|PPP3CC|PSMD14|NDUFA11|PSMC2|NDUFS1|ERN1|NDUFB3|HRAS|NDUFA3|CALML4|NDUFB2|CDK5|NDUFA13|VDAC3|COX6C|ATP2A2|PSMD9|NDUFAB1|COX6B1|UQCR11|PSENEN|ADRM1|PSMC3|NDUFA6|PSMB3|NDUFB1|UQCRHL|COX7B|NDUFV1","532345","533178|533769|535638|536535|535785|533625|535827|533790|533637|544548|533691|539421|548211|533739|536685|535740|536931|536004|533484|536760|536799|533733|544650|533643|533703|533781|540990|533697|546759|574026|536868|533619|535659|578904|535671|536724|532881|533709|533679|536850|536808|538131|548244|548238|533715|583410|536898|536835|536904|546267|540795|536754|533667|535746|533685|533775|539415|536112|535626|536772|544575|541119|536562|535803|536862|536784|541065|536778|548250|533721|536043|536940|533745|540750|536664|533757|536883|533241|533673|535698|536670|536697|555708|547734|536544|533217|535728|541110|542547|536550|533205|548232|542541|533655|536889|533751|536823|534531|533313|539490|536877|539484|536856|546432|536076|538053|536766|536526|533493|536817|536733|536742|551142|533571|533763|536844|533631|536910|536622|536715|535848","9.31E-25","","hsa05010","2.2106793246940155","0"
"350","115","KEGG Pathways","","Amyotrophic lateral sclerosis","1.3E-20","PSMA4|PSMC4|NDUFB4|UQCRC1|PSMD8|NDUFB7|XBP1|PSMA3|TUBB1|PSMD7|PSMA2|COX6A1|NDUFS7|NDUFA2|NDUFA10|EIF2S1|COX5B|NDUFB5|PSMB7|DERL1|DCTN3|TUBB2B|PSMC1|PSMA6|PSMD11|WIPI1|PSMB1|GRIN2D|NDUFS3|PSMD3|SDHA|DAXX|NDUFA9|UQCRC2|NDUFB10|PSMB6|PSMA5|NDUFS6|NDUFC2|PSMB4|WDR41|NDUFS4|NDUFB8|RAB8A|NDUFA7|UQCRFS1|PSMD1|UQCRH|PSMD2|PSMC5|CASP3|NDUFS8|CYC1|COX5A|TUBB6|BID|COX8A|HSPA5|NDUFV2|NDUFA12|UQCR10|DNAH8|ANG|ATF4|NDUFA4|VCP|GPX7|PSMB5|SDHC|NDUFS2|PSMD4|COX7A2|PSMA7|NDUFA1|ANXA7|NDUFS5|PSMB2|NDUFA8|SDHB|SDHD|COX7A2L|UQCRQ|NDUFB6|SEC13|BAD|PPP3CB|VDAC1|PPP3CC|PSMD14|RAB1A|NDUFA11|PSMC2|NDUFS1|ERN1|NDUFB3|DCTN2|NDUFA3|NDUFB2|NDUFA13|COX6C|PSMD9|NUP37|ACTG1|NDUFAB1|NUP88|COX6B1|UQCR11|ADRM1|PSMC3|NDUFA6|PSMB3|NDUFB1|UQCRHL|COX7B|NDUFV1","532345","533178|533769|536535|535785|533625|535827|533790|533637|544548|533691|533739|536685|535740|536931|536004|533484|536760|536799|533733|534714|534921|544650|533643|533703|533781|540990|533697|574026|536868|533619|535659|546303|535671|536724|532881|533709|533679|536850|536808|533715|538629|536898|536835|543741|536904|536754|533667|535746|533685|533775|539415|536112|535626|536772|544575|541119|536562|533967|535803|536862|536784|580017|588147|541065|536778|533556|541392|533721|536043|536940|533745|536664|533757|536883|544446|533241|533673|535698|536670|536697|536544|533217|535728|537717|541110|542547|536550|542541|533655|532803|536889|533751|536823|534531|533313|535005|536877|536856|536076|536766|533493|540279|542007|536817|540231|536733|536742|533571|533763|536844|533631|536910|536622|536715|535848","1.94E-22","","hsa05014","1.9886056647693162","0"
"1435","284","KEGG Pathways","","Metabolic pathways","2.73E-20","B4GALT7|CHPF2|HSD17B10|NDUFB4|PLOD1|OXCT1|UQCRC1|NANS|NDUFB7|MIF|ACO2|GNPNAT1|PCK2|PYGB|AHCY|ACOT8|IDH3G|ACP5|CDIPT|PLOD3|GALK1|CD38|LAP3|CYP27B1|TPI1|COX6A1|GPLD1|EHHADH|NDUFS7|GGCX|ATIC|RPN2|ALG5|RDH10|CHPF|MCEE|NT5C|SGPP1|DAD1|ALOX12|RRM2B|NDUFA2|NDUFA10|COX5B|NDUFB5|TGDS|HEXB|MARS1|ALG1|IMPAD1|SLC27A5|MECR|NDUFS3|AGPS|KYNU|PPAT|PIKFYVE|SDHA|DGKG|PAPSS1|ACAT1|NDUFA9|PMM2|UQCRC2|NDUFB10|G6PC3|GALNT1|BCKDHA|UAP1|ENOPH1|NDUFS6|PIGT|DLAT|OXSM|NDUFC2|QDPR|HGD|ACAA2|CA2|AGPAT5|AKR1B1|COQ5|CBR1|CBR3|MCAT|GSTT2B|PDXK|NAGS|NEU3|CHAC2|STT3B|RPN1|ADH5|NDUFS4|AK8|NDUFB8|PCBD1|NDUFA7|GUSB|C1GALT1C1|UQCRFS1|ASL|PDHB|MGAT2|QARS1|PTDSS2|B4GAT1|UQCRH|PDE7B|B4GALT2|ACOT1|PANK2|GRHPR|GBA|TYMS|NDUFS8|ACSS1|CYC1|LPCAT4|COX5A|MPI|SHMT1|UGDH|GCSH|PKM|TALDO1|COX8A|DPM2|AACS|HADHB|DHRS4|MDH2|NDUFV2|AFMID|NDUFA12|IDH2|MGAT1|ENPP7|UQCR10|ACAA1|ADI1|CYP2R1|ST6GALNAC4|NME1|NDUFA4|GANAB|GYG1|PPCDC|IMPDH1|MGAT3|GPT2|ALDH3A2|UCKL1|ALDH9A1|GPAA1|ACSL5|FDPS|DCTD|GFPT1|GMPPA|HIBCH|RRM2|FUT8|PTGS1|GPX7|FH|GUK1|EPRS1|UCK2|SDHC|NDUFS2|PPOX|DPM3|PMVK|MAN1A1|ECHS1|OAT|CHIA|ATP6AP1|COX7A2|ALG14|PIGK|PGAM1|ALDH18A1|PLPP3|NDUFA1|SCP2|MAN1B1|TXNDC12|AKR1A1|OXCT2|NDUFS5|PGK1|NDUFA8|HSD17B8|ALPL|SDHB|SDHD|NEU1|PCCA|IDNK|PSAT1|SRM|EXT1|CAMKMT|COX7A2L|UQCRQ|CRLS1|PCYT1B|NUDT2|ITPA|GMDS|GLDC|GART|PGM2|STT3A|SUCLG1|MTHFD2|NIT2|HDDC3|ASNS|ALAS1|VKORC1|TYMP|NAGA|GAPDH|ALG3|PAICS|PYCR1|DPAGT1|PLD3|NDUFA11|GLYCTK|TKT|NDUFS1|DHFR|TSTA3|DDOST|GPI|NDUFB3|MOGS|MPST|CSGALNACT1|GCNT1|ALG2|NDUFA3|SEPHS2|PCCB|NDUFB2|PIK3CG|NUDT5|PCBD2|NDUFA13|COX6C|AMPD1|ATP6V0B|ECHDC1|ACADVL|PAFAH1B3|LDHA|EARS2|NDUFAB1|COASY|COX6B1|UQCR11|HMOX2|MTHFD1L|B4GALT3|NDUFA6|GALE|NDUFB1|CHAC1|UQCRHL|ST3GAL5|FDFT1|PHGDH|ENO1|SLC33A1|CPOX|COX7B|NDUFV1|MTHFD1|HMBS|AK2","532345","533064|533133|535638|536535|533115|537276|535785|538971|535827|540090|537342|542583|542157|542064|540597|544995|535683|545598|534999|537270|535689|533889|543438|551487|538044|536685|532716|535908|535740|554502|538470|549351|534519|555687|533121|547068|546546|546522|539199|544566|538494|536931|536004|536760|536799|539049|559161|542835|539037|546636|545064|539682|536868|545010|575577|541944|546642|535659|577170|544866|535812|535671|539031|536724|532881|543303|567861|537330|539055|582240|536850|583392|538098|545034|536808|547041|554025|535926|545640|577182|544035|536580|555309|568377|536253|554001|552009|554808|541179|536997|537015|536970|545658|536898|554886|536835|557106|536904|532470|580797|536754|538899|533022|533157|548382|597540|572106|535746|557976|553446|540528|546111|542046|541170|535458|536112|537300|535626|585114|536772|549600|542031|539013|551634|534204|537843|536562|546627|537399|535920|547308|535821|535803|543309|536862|537984|559188|559071|536784|535914|577842|551517|594843|540171|536778|542178|544122|558708|544890|590433|541953|546117|589461|547098|563052|542079|557250|558006|539007|539067|535776|534837|580779|552501|541392|537321|535983|537465|554568|536043|536940|539565|555552|578787|535197|535932|542058|537879|561330|536664|555033|542589|537825|535647|546621|536883|535677|533103|549156|552120|537408|533241|534360|535698|535704|532722|536670|536697|539025|537357|597270|543276|538953|533139|537264|536544|533217|546648|574440|567915|536148|538998|542145|536064|541974|534543|536574|544941|534150|536136|540822|540621|554520|539454|542265|533205|536958|538509|547545|538986|577176|536889|535287|540111|536823|538638|542601|533073|538017|533313|532842|541413|533145|553590|535176|536877|620853|537309|536856|547953|575661|584163|536076|536766|554961|548754|535860|537348|547722|537942|540546|536817|542151|536733|536742|568347|544929|535209|536844|539061|536910|540849|536622|539019|542037|541608|534228|546084|542211|536715|535848|541959|542001|532476","4.88E-22","","hsa01100","1.9563837352959244","0"
"163","74","KEGG Pathways","","Protein processing in endoplasmic reticulum","2.1E-19","DERL2|ERLEC1|XBP1|RBX1|STUB1|SEC61B|WFS1|RPN2|SEC61A1|SSR1|CANX|DAD1|LMAN1|HSPBP1|EIF2S1|EDEM1|UGGT1|DERL1|PREB|TRAM1|EIF2AK4|SIL1|UBXN4|DNAJC5B|SEC24D|CAPN2|STT3B|RPN1|HSP90B1|PDIA3|LMAN2|SSR4|EDEM3|OS9|CALR|HSPA5|P4HB|ATF4|SEL1L|SEC23B|GANAB|SEC24C|VCP|MAN1A1|SEC63|MAN1B1|BAK1|EDEM2|UGGT2|DNAJC1|SYVN1|RRBP1|TXNDC5|SEC13|STT3A|ERO1A|UBE2G1|SEC24A|DERL3|PDIA6|SAR1B|SEC61G|BCAP31|DDOST|ERN1|MOGS|DNAJB11|HSPA8|UBE2J1|PRKCSH|DNAJC3|HYOU1|BAG1|PDIA4","532345","534516|534720|533790|533532|532563|534681|541047|549351|534675|534588|534690|539199|535215|536118|533484|534699|534606|534714|540963|549225|540903|537003|534660|546249|532779|583410|537015|536970|532515|533979|534600|545400|534627|534747|533991|533967|533946|541065|534741|540720|542178|532791|533556|535197|532983|533103|540789|534666|537072|559155|534735|546156|533871|537717|534543|540915|541836|532773|533862|541053|532767|536991|540762|533073|534531|532842|532575|532641|534708|537045|534636|533940|534267|533985","4.38E-21","","hsa04141","1.867778070526608","0"
"146","64","KEGG Pathways","","Non-alcoholic fatty liver disease","3.35E-16","NDUFB4|UQCRC1|NDUFB7|XBP1|PIK3R2|COX6A1|NDUFS7|MLX|NDUFA2|NDUFA10|EIF2S1|COX5B|NDUFB5|NDUFS3|SDHA|NDUFA9|UQCRC2|NDUFB10|NDUFS6|NDUFC2|NDUFS4|NDUFB8|NDUFA7|UQCRFS1|UQCRH|CASP3|NDUFS8|CYC1|COX5A|BID|COX8A|NDUFV2|NDUFA12|UQCR10|ATF4|NDUFA4|SDHC|NDUFS2|CASP7|COX7A2|NDUFA1|NDUFS5|NDUFA8|SDHB|SDHD|COX7A2L|UQCRQ|NDUFB6|NDUFA11|NDUFS1|ERN1|NDUFB3|NDUFA3|NDUFB2|NDUFA13|COX6C|NDUFAB1|COX6B1|UQCR11|NDUFA6|NDUFB1|UQCRHL|COX7B|NDUFV1","532345","536535|535785|535827|533790|539421|536685|535740|558702|536931|536004|533484|536760|536799|536868|535659|535671|536724|532881|536850|536808|536898|536835|536904|536754|535746|539415|536112|535626|536772|541119|536562|535803|536862|536784|541065|536778|536043|536940|540750|536664|536883|533241|535698|536670|536697|536544|533217|535728|536889|536823|534531|533313|536877|536856|536076|536766|536817|536733|536742|536844|536910|536622|536715|535848","7.98E-18","","hsa04932","1.5474955192963153","0"
"128","59","KEGG Pathways","","Oxidative phosphorylation","9.34E-16","NDUFB4|UQCRC1|NDUFB7|COX6A1|NDUFS7|NDUFA2|NDUFA10|COX5B|NDUFB5|NDUFS3|SDHA|NDUFA9|UQCRC2|NDUFB10|NDUFS6|NDUFC2|NDUFS4|NDUFB8|NDUFA7|UQCRFS1|UQCRH|NDUFS8|CYC1|COX5A|COX8A|NDUFV2|NDUFA12|UQCR10|NDUFA4|PPA2|SDHC|NDUFS2|ATP6AP1|COX7A2|NDUFA1|NDUFS5|PPA1|NDUFA8|SDHB|SDHD|COX7A2L|UQCRQ|NDUFB6|NDUFA11|NDUFS1|NDUFB3|NDUFA3|NDUFB2|NDUFA13|COX6C|ATP6V0B|NDUFAB1|COX6B1|UQCR11|NDUFA6|NDUFB1|UQCRHL|COX7B|NDUFV1","532345","536535|535785|535827|536685|535740|536931|536004|536760|536799|536868|535659|535671|536724|532881|536850|536808|536898|536835|536904|536754|535746|536112|535626|536772|536562|535803|536862|536784|536778|552315|536043|536940|561330|536664|536883|533241|552366|535698|536670|536697|536544|533217|535728|536889|536823|533313|536877|536856|536076|536766|548754|536817|536733|536742|536844|536910|536622|536715|535848","2.5E-17","","hsa00190","1.5029653123769906","0"
"43","34","KEGG Pathways","","Proteasome","5.54E-14","PSMA4|PSMC4|PSMD8|PSMA3|PSME2|PSMD7|PSMA2|PSMB7|PSMC1|PSMA6|PSMD11|PSMB1|PSMD3|PSMB6|PSMA5|PSMB4|PSMD1|PSMD2|PSMC5|PSMF1|PSMB10|PSMB5|PSMD4|PSMA7|PSMB2|PSMB9|PSMB8|PSME1|PSMD14|PSMC2|PSMD9|ADRM1|PSMC3|PSMB3","532345","533178|533769|533625|533637|533583|533691|533739|533733|533643|533703|533781|533697|533619|533709|533679|533715|533667|533685|533775|533577|533601|533721|533745|533757|533673|533661|533649|533589|533655|533751|533493|533571|533763|533631","1.65E-15","","hsa03050","1.325649023527157","0"
